,accession_name,enough seed,SL,note
both,Coronet Pinkeye Purplehull,yes,KellySeedDillon_CoronetPinkeyePurplehull_2024,
2025,Colossus 80,yes,SouthernExposureSeedExchange_Colossus80_2026,
both,Knucklehull-VNR,yes from 2 SL,SouthernExposureSeedExchange_Knucklehull-VNR_2026,
both,Cowpea Phenomenal,yes one SL,HarrisSeed_CowpeaPhenomenal_2025,
both,Texas Big Boy Pea,yes one SL,Hoss_TexasBigBoyPea_2024,
both,Dixie Lee Pea,yes one SL,KellySeedDillon_DixieLeaPea_2024,
both,Top Pick Pinkeye Pea,yes one SL,Hoss_TopPickPinkeyePea_2024,
both,Zipper Cream,yes from 2 SL,SouthernExposureSeedExchange_ZipperCream_2025; SouthernExposureSeedExchange_ZipperCream_2026,
both,Hercules,yes from 2 SL,SouthernExposureSeedExchange_Hercules_2026,
both,Big Red Ripper,yes from 2 SL,SouthernExposureSeedExchange_BigRedRipper_2025; SouthernExposureSeedExchange_BigRedRipper_2026,
both,Green Dixie Blackeye,yes from 2 SL,SouthernExposureSeedExchange_GreenDixieBlackeye_2025; SouthernExposureSeedExchange_GreenDixieBlackeye_2026,
2026,Kiawah Pinkeye Purple Hull,yes one SL,SouthernExposureSeedExchange_KiawahPinkeyePurpleHull_2026,
2026,White Acre Pea,yes one SL,Hoss_WhiteAcrePea_2026,
2026,Mississippi Purplehull Pea,yes one SL,Hoss_MississippiPurplehullPea_2026,
both,Ogle Southern Pea,yes one SL,SCCropImprovement_OgleSouthernPea_2025,plant 90 seed instead of 100 seeds per plot 